"periodo","estu_tipodocumento","estu_consecutivo","cole_area_ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_cod_dane_establecimiento","cole_cod_dane_sede","cole_cod_depto_ubicacion","cole_cod_mcpio_ubicacion","cole_codigo_icfes","cole_depto_ubicacion","cole_genero","cole_jornada","cole_mcpio_ubicacion","cole_naturaleza","cole_nombre_establecimiento","cole_nombre_sede","cole_sede_principal","estu_cod_depto_presentacion","estu_cod_mcpio_presentacion","estu_cod_reside_depto","estu_cod_reside_mcpio","estu_depto_presentacion","estu_depto_reside","estu_estadoinvestigacion","estu_estudiante","estu_fechanacimiento","estu_genero","estu_mcpio_presentacion","estu_mcpio_reside","estu_nacionalidad","estu_pais_reside","estu_privado_libertad","fami_cuartoshogar","fami_educacionmadre","fami_educacionpadre","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","desemp_ingles","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"20152","TI","SB11201520028859","URBANO","N","A","ACADÉMICO","119001002187","119001002187","19","19001","089714","CAUCA","MIXTO","TARDE","POPAYAN","OFICIAL","INSTITUCION EDUCATIVA LOS COMUNEROS","SEDE LOS COMUNEROS","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","25/08/1999","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Primaria incompleta","Estrato 1","Cinco","No","No","No","No","A1","55","63","66","62","59","310"
"20112","TI","SB11201120431730","RURAL","N","A","TÉCNICO","219821000663","219821000663","19","19821","050740","CAUCA","MIXTO","MAÑANA","TORIBÍO","OFICIAL","I.E.A. INDIGENA QUINTIN LAME","I.E.A. INDIGENA QUINTIN LAME - SEDE PRINCIPAL","S","19","19698","19","19821","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","04/08/1993","M","SANTANDER DE QUILICHAO","TORIBÍO","COLOMBIA","COLOMBIA","N","Dos","Primaria completa","Secundaria (Bachillerato) completa","Estrato 1","Tres","No","No","No","No","A-","36","53","","","",""
"20152","TI","SB11201520401792","RURAL","","A","ACADÉMICO","219392000081","219392000081","19","19392","155234","CAUCA","MIXTO","MAÑANA","LA SIERRA","OFICIAL","INST EDUC PALO GRANDE BAJO ANTES (CENT EDUC PALO GRANDE BAJO)","ESCUELA RURAL MIXTA PALO GRANDE BAJO","S","19","19001","19","19392","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","29/06/1997","F","POPAYÁN","LA SIERRA","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 1","Nueve","No","No","No","No","A-","43","28","39","32","36","172"
"20122","TI","SB11201220433873","URBANO","N","A","TÉCNICO","119743000088","119743000088","19","19743","007526","CAUCA","MIXTO","MAÑANA","SILVIA","OFICIAL","INSTITUCION EDUCATIVA NUESTRA SENORA DEL PERPETUO SOCORRO","NUESTRA SENORA DEL PERPETUO SOCORRO (sede principal)","S","19","19743","19","19743","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","09/04/1995","F","SILVIA","SILVIA","COLOMBIA","COLOMBIA","N","Dos","Primaria incompleta","Secundaria (Bachillerato) completa","Estrato 1","Seis","No","No","No","No","A2","59","34","","","",""
"20122","TI","SB11201220432709","URBANO","","A","ACADÉMICO","319698001859","319698001859","19","19698","123356","CAUCA","MIXTO","MAÑANA","SANTANDER DE QUILICHAO","NO OFICIAL","LICEO PEDAGOGICO QUILICHAO","LICEO PEDAGOGICO QUILICHAO","S","19","19698","19","19698","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","19/05/1997","M","SANTANDER DE QUILICHAO","SANTANDER DE QUILICHAO","COLOMBIA","COLOMBIA","N","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 3","Cuatro","No","Si","Si","Si","A2","55","52","","","",""
"20194","TI","SB11201940400888","URBANO","N","A","TÉCNICO","119001000265","119001000265","19","19001","007112","CAUCA","MIXTO","MAÑANA","POPAYÁN","OFICIAL","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL","SEDE INSTITUTO TECNICO INDUSTRIAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","14/07/2003","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Técnica o tecnológica completa","No sabe","Estrato 3","3 a 4","No","Si","Si","Si","B1","78","70","69","64","68","343"
"20194","TI","SB11201940400888","URBANO","N","A","TÉCNICO","119001000265","119001000265","19","19001","007112","CAUCA","MIXTO","MAÑANA","POPAYÁN","OFICIAL","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL","SEDE INSTITUTO TECNICO INDUSTRIAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","14/07/2003","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Técnica o tecnológica completa","No sabe","Estrato 3","3 a 4","No","Si","Si","Si","B1","78","70","69","64","68","343"
"20152","CC","SB11201520063653","RURAL","N","A","TÉCNICO","419450001270","419450001270","19","19450","074609","CAUCA","MIXTO","MAÑANA","MERCADERES","OFICIAL","INSTITUCIÓN EDUCATIVA AGROPECUARIA ARBOLEDA","I.E.A. ARBOLEDA - SEDE PRINCIPAL","S","19","19450","19","19450","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","01/01/1995","F","MERCADERES","MERCADERES","COLOMBIA","COLOMBIA","N","Dos","Primaria incompleta","Primaria incompleta","Estrato 1","Tres","No","No","No","No","A1","50","38","43","44","32","200"
"20111","CC","SB11201110101772","URBANO","N","A","ACADÉMICO","319698002901","319698002901","19","19698","084780","CAUCA","MIXTO","SABATINA","SANTANDER DE QUILICHAO","NO OFICIAL","COLEGIO LA SANTISIMA TRINIDAD","COLEGIO LA SANTISIMA TRINIDAD","S","19","19698","19","19142","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","27/01/1976","M","SANTANDER DE QUILICHAO","CALOTO","COLOMBIA","COLOMBIA","N","Dos","Primaria completa","Primaria incompleta","Estrato 1","Cuatro","No","No","No","No","A1","44.56","49.43","","","",""
"20194","TI","SB11201940148671","URBANO","N","A","ACADÉMICO","119001000486","119001000486","19","19001","227637","CAUCA","MIXTO","TARDE","POPAYÁN","OFICIAL","INSTITUCION EDUCATIVA GABRIELA MISTRAL","SEDE GABRIELA MISTRAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","14/04/2000","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Primaria completa","Ninguno","Estrato 1","3 a 4","No","No","No","No","A1","52","57","49","53","61","274"
"20194","TI","SB11201940148671","URBANO","N","A","ACADÉMICO","119001000486","119001000486","19","19001","227637","CAUCA","MIXTO","TARDE","POPAYÁN","OFICIAL","INSTITUCION EDUCATIVA GABRIELA MISTRAL","SEDE GABRIELA MISTRAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","14/04/2000","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Primaria completa","Ninguno","Estrato 1","3 a 4","No","No","No","No","A1","52","57","49","53","61","274"
"20122","TI","SB11201220424593","URBANO","N","A","TÉCNICO/ACADÉMICO","119001001199","119001001199","19","19001","007104","CAUCA","MIXTO","TARDE","POPAYÁN","OFICIAL","INSTITUCIÓN EDUCATIVA INEM FCO JOSE DE CALDAS","SEDE INEM","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","08/12/1995","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Dos","Secundaria (Bachillerato) incompleta","Primaria incompleta","Estrato 3","Tres","No","Si","No","No","A-","40","38","","","",""
"20152","TI","SB11201520150000","URBANO","N","A","TÉCNICO/ACADÉMICO","119001000699","119001000699","19","19001","007161","CAUCA","MIXTO","MAÑANA","POPAYAN","OFICIAL","ESCUELA NORMAL SUPERIOR DE POPAYAN","SEDE NORMAL SUPERIOR","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","12/09/1998","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Primaria completa","Estrato 1","Ocho","No","No","No","No","A-","44","55","62","55","49","272"
"20194","TI","SB11201940383819","URBANO","","A","ACADÉMICO","119450000903","119450000903","19","19450","148601","CAUCA","MIXTO","MAÑANA","MERCADERES","OFICIAL","I.E. NUESTRA SEÑORA DEL ROSARIO -ANTES (I.E. URB DE NIÑAS NTA SRA DEL ROSARIO)","NUESTRA SEÑORA DEL ROSARIO (sede principal)","S","19","19450","19","19450","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","02/08/2002","M","MERCADERES","MERCADERES","COLOMBIA","COLOMBIA","N","Cuatro","Primaria completa","Educación profesional completa","Sin Estrato","5 a 6","No","Si","Si","Si","A1","49","60","48","55","57","273"
"20194","TI","SB11201940383819","URBANO","","A","ACADÉMICO","119450000903","119450000903","19","19450","148601","CAUCA","MIXTO","MAÑANA","MERCADERES","OFICIAL","I.E. NUESTRA SEÑORA DEL ROSARIO -ANTES (I.E. URB DE NIÑAS NTA SRA DEL ROSARIO)","NUESTRA SEÑORA DEL ROSARIO (sede principal)","S","19","19450","19","19450","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","02/08/2002","M","MERCADERES","MERCADERES","COLOMBIA","COLOMBIA","N","Cuatro","Primaria completa","Educación profesional completa","Sin Estrato","5 a 6","No","Si","Si","Si","A1","49","60","48","55","57","273"
"20162","TI","SB11201620419902","URBANO","N","A","TÉCNICO","319573000249","319573000249","19","19573","100339","CAUCA","MIXTO","TARDE","PUERTO TEJADA","NO OFICIAL","COLEGIO EVANGELICO EBENEZER (ANTES ANTONIO NARINO)","COLEGIO EVANGELICO EBENEZER (ANTES ANTONIO NARINO)","S","19","19573","19","19573","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","16/12/1998","M","PUERTO TEJADA","PUERTO TEJADA","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 2","Nueve","No","Si","Si","No","A-","34","39","52","52","45","230"
"20162","TI","SB11201620226461","RURAL","","A","TÉCNICO/ACADÉMICO","219532001155","219532001155","19","19532","127589","CAUCA","MIXTO","MAÑANA","PATIA(EL BORDO)","OFICIAL","I.E. DOS RIOS","I.E. DOS RÍOS - SEDE PRINCIPAL","S","19","19532","19","19532","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","12/10/1998","M","PATÍA","PATÍA","COLOMBIA","COLOMBIA","N","Tres","Técnica o tecnológica completa","Primaria incompleta","Estrato 1","Cinco","No","Si","No","No","A1","49","48","39","59","42","235"
"20152","TI","SB11201520283499","URBANO","N","A","ACADÉMICO","119001000044","119001000044","19","19001","006957","CAUCA","FEMENINO","MAÑANA","POPAYAN","OFICIAL","SAN AGUSTIN","SEDE SAN AGUSTIN","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","15/04/1999","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cuatro","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Estrato 3","Cuatro","No","No","Si","No","A1","49","50","53","54","49","257"
"20132","TI","SB11201320234623","RURAL","N","A","ACADÉMICO","219548000060","219548000060","19","19548","174094","CAUCA","MIXTO","MAÑANA","PIENDAMÓ - TUNÍA","OFICIAL","I.E. CAÑA DULCE","CAÑA DULCE (sede principal)","S","19","19548","19","19548","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","16/08/1996","M","PIENDAMÓ - TUNÍA","PIENDAMÓ - TUNÍA","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Primaria incompleta","Estrato 1","Ocho","No","No","No","No","A-","43","55","","","",""
"20142","TI","SB11201420380947","URBANO","","A","TÉCNICO/ACADÉMICO","319001004782","319001004782","19","19001","155853","CAUCA","MIXTO","MAÑANA","POPAYAN","NO OFICIAL","ACADEMIA MILITAR GUSTAVO MATAMOROS D COSTA","ACADEMIA MILITAR GENERAL GUSTAVO MATAMOROS D´COSTA","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","22/01/1997","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cinco","Secundaria (Bachillerato) incompleta","Primaria completa","Estrato 2","Seis","No","Si","Si","Si","A-","47","35","43","36","42","198"
"20152","TI","SB11201520538995","RURAL","N","A","TÉCNICO","219743001062","219743001062","19","19743","070201","CAUCA","MIXTO","MAÑANA","SILVIA","OFICIAL","I.E. DE USENDA","INSTITUCIÓN MARINA BELTRAN DE USENDA - SEDE PRINCIPAL","S","19","19548","19","19743","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","08/06/1998","F","PIENDAMÓ - TUNÍA","SILVIA","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 1","Cinco","No","Si","No","Si","A1","53","51","57","44","54","258"
"20194","TI","SB11201940167171","URBANO","N","A","TÉCNICO","119807000109","119807000109","19","19807","029371","CAUCA","MIXTO","MAÑANA","TIMBÍO","OFICIAL","I.E. SAN ANTONIO DE PADUA","SAN ANTONIO DE PADUA (sede principal)","S","19","19001","19","19807","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","23/06/2003","M","POPAYÁN","TIMBÍO","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Primaria incompleta","Estrato 1","3 a 4","Si","Si","Si","Si","A1","50","56","54","59","56","279"
"20194","TI","SB11201940167171","URBANO","N","A","TÉCNICO","119807000109","119807000109","19","19807","029371","CAUCA","MIXTO","MAÑANA","TIMBÍO","OFICIAL","I.E. SAN ANTONIO DE PADUA","SAN ANTONIO DE PADUA (sede principal)","S","19","19001","19","19807","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","23/06/2003","M","POPAYÁN","TIMBÍO","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Primaria incompleta","Estrato 1","3 a 4","Si","Si","Si","Si","A1","50","56","54","59","56","279"
"20142","TI","SB11201420194677","URBANO","N","A","ACADÉMICO","119001000079","119001000079","19","19001","007179","CAUCA","MIXTO","MAÑANA","POPAYAN","OFICIAL","INSTITUCION EDUCATIVA JOSE EUSEBIO CARO","SEDE JOSE EUSEBIO CARO","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","29/05/1996","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cinco","Técnica o tecnológica completa","No sabe","Estrato 3","Ocho","No","No","No","No","A1","55","52","56","47","57","266"
"20162","TI","SB11201620333153","RURAL","","A","NO APLICA","219473000891","219473000891","19","19473","370932","CAUCA","MIXTO","MAÑANA","MORALES","OFICIAL","INSTITUCION EDUCATIVA INTERCULTURAL SEK WALAC A  (SOL CRECIENTE)","ESCUELA RURAL MIXTA LA BODEGA","S","19","19548","19","19780","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","05/07/2000","F","PIENDAMÓ - TUNÍA","SUÁREZ","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Ninguno","Estrato 1","Cuatro","No","No","No","No","A-","37","36","37","41","32","181"
"20152","CC","SB11201520416625","RURAL","N","A","ACADÉMICO","219137000751","219137000751","19","19137","034397","CAUCA","MIXTO","MAÑANA","CALDONO","OFICIAL","I.E. GUILLERMO LEON VALENCIA","I.E. GUILLERMO LEON VALENCIA - SEDE PRINCIPAL","S","19","19548","19","19548","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","17/03/1995","F","PIENDAMÓ - TUNÍA","PIENDAMÓ - TUNÍA","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Primaria incompleta","Estrato 1","Siete","No","No","No","No","A-","46","36","38","39","43","198"
"20152","TI","SB11201520022262","RURAL","","A","ACADÉMICO","219130003666","219130003666","19","19130","146654","CAUCA","MIXTO","MAÑANA","CAJIBIO","OFICIAL","I.E. NUESTRA SEÑORA DE LAS MERCEDES","I.E. NUESTRA SEÑORA DE LAS MERCEDES - SEDE PRINCIPAL","S","19","19548","19","19130","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","18/04/1999","M","PIENDAMÓ - TUNÍA","CAJIBÍO","COLOMBIA","COLOMBIA","N","Tres","Primaria completa","Primaria completa","Estrato 1","Cuatro","No","No","No","No","A-","41","32","38","39","43","191"
"20191","TI","SB11201910020039","URBANO","","B","ACADÉMICO","319001001201","319001001201","19","19001","131581","CAUCA","MIXTO","MAÑANA","POPAYÁN","NO OFICIAL","COL MIXTO SINTRAFEC","COL MIXTO SINTRAFEC","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","13/03/2002","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cuatro","","","","5 a 6","No","No","","Si","A-","40","50","50","43","55","244"
"20132","TI","SB11201320479999","URBANO","N","A","ACADÉMICO","119001001474","119001001474","19","19001","007062","CAUCA","FEMENINO","MAÑANA","POPAYÁN","OFICIAL","SAGRADO CORAZ¿N DE JES¿S","SEDE SAGRADO CORAZON","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","08/11/1996","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Dos","Educación profesional completa","Educación profesional incompleta","Estrato 4","Tres","Si","Si","Si","Si","A2","54","52","","","",""
"20112","CC","SB11201120529450","URBANO","","A","ACADÉMICO","519807000007","519807000007","19","19807","147991","CAUCA","MIXTO","SABATINA","TIMBÍO","NO OFICIAL","FUNDACION GIMNASIO MODERNO DEL CAUCA - SEDE ADMINISTRATIVA","FUNDACION GIMNASIO MODERNO DEL CAUCA - SEDE ADMINISTRATIVA - SEDE PRINCIPAL","S","19","19698","19","19698","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","15/12/1986","F","SANTANDER DE QUILICHAO","SANTANDER DE QUILICHAO","COLOMBIA","COLOMBIA","N","Dos","Primaria completa","Primaria completa","Estrato 1","Tres","No","No","No","Si","A-","41","31","","","",""
"20194","TI","SB11201940445713","URBANO","","OTRO","ACADÉMICO","319001004669","319001004669","19","19001","135301","CAUCA","MIXTO","MAÑANA","POPAYÁN","NO OFICIAL","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO - SEDE PRINCIPAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","01/01/2004","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Estrato 3","5 a 6","No","Si","Si","Si","A-","37","45","37","43","47","213"
"20194","TI","SB11201940445713","URBANO","","OTRO","ACADÉMICO","319001004669","319001004669","19","19001","135301","CAUCA","MIXTO","MAÑANA","POPAYÁN","NO OFICIAL","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO","COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO - SEDE PRINCIPAL","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","01/01/2004","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Estrato 3","5 a 6","No","Si","Si","Si","A-","37","45","37","43","47","213"
"20172","TI","SB11201720414468","RURAL","N","A","ACADÉMICO","219142000131","219142000131","19","19300","161596","CAUCA","MIXTO","MAÑANA","GUACHENÉ","OFICIAL","I.E. LA CABAÑA","LA CABAÑA (sede principal)","S","19","19573","19","19300","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","01/04/2001","F","PUERTO TEJADA","GUACHENÉ","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 1","3 a 4","No","No","No","No","A1","48","44","39","54","51","235"
"20101","TI","SB11201010117547","URBANO","N","A","ACADÉMICO","319698002846","319698002846","19","19698","084806","CAUCA","MIXTO","SABATINA","SANTANDER DE QUILICHAO","NO OFICIAL","COLEGIO NUEVO MILENIO","COLEGIO NUEVO MILENIO","S","19","19698","19","19698","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","16/06/1982","F","SANTANDER DE QUILICHAO","SANTANDER DE QUILICHAO","COLOMBIA","COLOMBIA","N","Cuatro","Primaria completa","Primaria completa","Estrato 2","Cuatro","No","No","No","Si","A-","42.76","46.77","","","",""
